polProcessID,opModeID
101,0
201,0
301,0
601,0
9101,0
11201,0
11609,0
11801,0
101,1
201,1
301,1
601,1
9101,1
11201,1
11609,1
11801,1
101,11
201,11
301,11
601,11
9101,11
11201,11
11609,11
11801,11
101,12
201,12
301,12
601,12
9101,12
11201,12
11609,12
11801,12
101,13
201,13
301,13
601,13
9101,13
11201,13
11609,13
11801,13
101,14
201,14
301,14
601,14
9101,14
11201,14
11609,14
11801,14
101,15
201,15
301,15
601,15
9101,15
11201,15
11609,15
11801,15
101,16
201,16
301,16
601,16
9101,16
11201,16
11609,16
11801,16
101,21
201,21
301,21
601,21
9101,21
11201,21
11609,21
11801,21
101,22
201,22
301,22
601,22
9101,22
11201,22
11609,22
11801,22
101,23
201,23
301,23
601,23
9101,23
11201,23
11609,23
11801,23
101,24
201,24
301,24
601,24
9101,24
11201,24
11609,24
11801,24
101,25
201,25
301,25
601,25
9101,25
11201,25
11609,25
11801,25
101,27
201,27
301,27
601,27
9101,27
11201,27
11609,27
11801,27
101,28
201,28
301,28
601,28
9101,28
11201,28
11609,28
11801,28
101,29
201,29
301,29
601,29
9101,29
11201,29
11609,29
11801,29
101,30
201,30
301,30
601,30
9101,30
11201,30
11609,30
11801,30
101,33
201,33
301,33
601,33
9101,33
11201,33
11609,33
11801,33
101,35
201,35
301,35
601,35
9101,35
11201,35
11609,35
11801,35
101,37
201,37
301,37
601,37
9101,37
11201,37
11609,37
11801,37
101,38
201,38
301,38
601,38
9101,38
11201,38
11609,38
11801,38
101,39
201,39
301,39
601,39
9101,39
11201,39
11609,39
11801,39
101,40
201,40
301,40
601,40
9101,40
11201,40
11609,40
11801,40
502,100
602,100
9102,100
102,101
202,101
302,101
9102,101
11202,101
11802,101
102,102
202,102
302,102
9102,102
11202,102
11802,102
102,103
202,103
302,103
9102,103
11202,103
11802,103
102,104
202,104
302,104
9102,104
11202,104
11802,104
102,105
202,105
302,105
9102,105
11202,105
11802,105
102,106
202,106
302,106
9102,106
11202,106
11802,106
102,107
202,107
302,107
9102,107
11202,107
11802,107
102,108
202,108
302,108
9102,108
11202,108
11802,108
111,150
112,150
113,150
111,151
112,151
113,151
190,200
290,200
390,200
9090,200
9190,200
9890,200
11290,200
11590,200
11890,200
191,201
291,201
391,201
9191,201
11291,201
11891,201
9193,203
111,300
112,300
113,300
501,300
11710,400
11710,401
11710,402
11710,403
11710,404
11710,405
11710,406
11710,407
11710,408
11710,409
11710,410
11710,411
11710,412
11710,413
11710,414
11710,415
11710,416
101,501
201,501
301,501
601,501
9101,501
11201,501
11609,501
11801,501
