dayID,sourceTypeID,startsPerDayPerVehicle
2,11,0.36831391913357125
2,21,3.1303549586240162
2,31,3.3217640792455083
2,32,3.524998579563598
2,41,1.9325264074975563
2,42,2.1596360054412345
2,43,0
2,51,0.10203681212287054
2,52,1.4149611926300576
2,53,1.3265449932645157
2,54,0.4753901589544678
2,61,1.3503332454914139
2,62,0.3743270894747974
5,11,0.10983950320441596
5,21,3.683876853237345
5,31,3.8898909603238363
5,32,4.1278849980559915
5,41,6.380825429839905
5,42,7.1306970446843545
5,43,3.9775676854240856
5,51,1.7103002935097502
5,52,19.859477126758367
5,53,1.3265449932645157
5,54,0.47372795560148034
5,61,5.866199624441955
5,62,0.5086660776840701
