polProcessID,stateID,countyID,yearID,sourceTypeID,fuelTypeID,IMProgramID,begModelYearID,endModelYearID,inspectFreq,testStandardsID,useIMyn,complianceFactor,FIP
101,36,36085,2022,21,1,10,1998,2020,1,51,Y,97.97,36085
101,36,36085,2022,21,5,210,1998,2020,1,51,Y,97.97,36085
101,36,36085,2022,31,1,10,1998,2020,1,51,Y,97.97,36085
101,36,36085,2022,31,5,210,1998,2020,1,51,Y,97.97,36085
101,36,36085,2022,32,1,10,1998,2020,1,51,Y,97.97,36085
101,36,36085,2022,32,5,210,1998,2020,1,51,Y,97.97,36085
101,36,36085,2022,52,1,10,1998,2020,1,51,Y,88.96,36085
102,36,36085,2022,21,1,10,1998,2020,1,51,Y,97.97,36085
102,36,36085,2022,21,5,210,1998,2020,1,51,Y,97.97,36085
102,36,36085,2022,31,1,10,1998,2020,1,51,Y,97.97,36085
102,36,36085,2022,31,5,210,1998,2020,1,51,Y,97.97,36085
102,36,36085,2022,32,1,10,1998,2020,1,51,Y,97.97,36085
102,36,36085,2022,32,5,210,1998,2020,1,51,Y,97.97,36085
102,36,36085,2022,52,1,10,1998,2020,1,51,Y,88.96,36085
112,36,36085,2022,21,1,8,1998,2020,1,43,Y,97.97,36085
112,36,36085,2022,21,5,208,1998,2020,1,43,Y,97.97,36085
112,36,36085,2022,31,1,8,1998,2020,1,43,Y,97.97,36085
112,36,36085,2022,31,5,208,1998,2020,1,43,Y,97.97,36085
112,36,36085,2022,32,1,8,1998,2020,1,43,Y,97.97,36085
112,36,36085,2022,32,5,208,1998,2020,1,43,Y,97.97,36085
201,36,36085,2022,21,1,10,1998,2020,1,51,Y,97.97,36085
201,36,36085,2022,21,5,210,1998,2020,1,51,Y,97.97,36085
201,36,36085,2022,31,1,10,1998,2020,1,51,Y,97.97,36085
201,36,36085,2022,31,5,210,1998,2020,1,51,Y,97.97,36085
201,36,36085,2022,32,1,10,1998,2020,1,51,Y,97.97,36085
201,36,36085,2022,32,5,210,1998,2020,1,51,Y,97.97,36085
201,36,36085,2022,52,1,10,1998,2020,1,51,Y,88.96,36085
202,36,36085,2022,21,1,10,1998,2020,1,51,Y,97.97,36085
202,36,36085,2022,21,5,210,1998,2020,1,51,Y,97.97,36085
202,36,36085,2022,31,1,10,1998,2020,1,51,Y,97.97,36085
202,36,36085,2022,31,5,210,1998,2020,1,51,Y,97.97,36085
202,36,36085,2022,32,1,10,1998,2020,1,51,Y,97.97,36085
202,36,36085,2022,32,5,210,1998,2020,1,51,Y,97.97,36085
202,36,36085,2022,52,1,10,1998,2020,1,51,Y,88.96,36085
301,36,36085,2022,21,1,10,1998,2020,1,51,Y,97.97,36085
301,36,36085,2022,21,5,210,1998,2020,1,51,Y,97.97,36085
301,36,36085,2022,31,1,10,1998,2020,1,51,Y,97.97,36085
301,36,36085,2022,31,5,210,1998,2020,1,51,Y,97.97,36085
301,36,36085,2022,32,1,10,1998,2020,1,51,Y,97.97,36085
301,36,36085,2022,32,5,210,1998,2020,1,51,Y,97.97,36085
301,36,36085,2022,52,1,10,1998,2020,1,51,Y,88.96,36085
302,36,36085,2022,21,1,10,1998,2020,1,51,Y,97.97,36085
302,36,36085,2022,21,5,210,1998,2020,1,51,Y,97.97,36085
302,36,36085,2022,31,1,10,1998,2020,1,51,Y,97.97,36085
302,36,36085,2022,31,5,210,1998,2020,1,51,Y,97.97,36085
302,36,36085,2022,32,1,10,1998,2020,1,51,Y,97.97,36085
302,36,36085,2022,32,5,210,1998,2020,1,51,Y,97.97,36085
302,36,36085,2022,52,1,10,1998,2020,1,51,Y,88.96,36085
101,36,36085,2022,54,1,10,1998,2020,1,51,Y,61.15,36085
102,36,36085,2022,54,1,10,1998,2020,1,51,Y,61.15,36085
201,36,36085,2022,54,1,10,1998,2020,1,51,Y,61.15,36085
202,36,36085,2022,54,1,10,1998,2020,1,51,Y,61.15,36085
301,36,36085,2022,54,1,10,1998,2020,1,51,Y,61.15,36085
302,36,36085,2022,54,1,10,1998,2020,1,51,Y,61.15,36085
