sourceTypeID,roadTypeID,roadTypeVMTFraction,FIP
11,1,0,36085
11,2,0,36085
11,3,0,36085
11,4,0.128245724,36085
11,5,0.871754276,36085
21,1,0,36085
21,2,0,36085
21,3,0,36085
21,4,0.466354771,36085
21,5,0.533645229,36085
31,1,0,36085
31,2,0,36085
31,3,0,36085
31,4,0.466354771,36085
31,5,0.533645229,36085
32,1,0,36085
32,2,0,36085
32,3,0,36085
32,4,0.466354771,36085
32,5,0.533645229,36085
41,1,0,36085
41,2,0,36085
41,3,0,36085
41,4,0.285735742,36085
41,5,0.714264258,36085
42,1,0,36085
42,2,0,36085
42,3,0,36085
42,4,0.285735742,36085
42,5,0.714264258,36085
43,1,0,36085
43,2,0,36085
43,3,0,36085
43,4,0.285735742,36085
43,5,0.714264258,36085
51,1,0,36085
51,2,0,36085
51,3,0,36085
51,4,0.384279119,36085
51,5,0.615720881,36085
52,1,0,36085
52,2,0,36085
52,3,0,36085
52,4,0.384279119,36085
52,5,0.615720881,36085
53,1,0,36085
53,2,0,36085
53,3,0,36085
53,4,0.384279119,36085
53,5,0.615720881,36085
53,1,0,36085
54,2,0,36085
54,3,0,36085
54,4,0.384279119,36085
54,5,0.615720881,36085
61,1,0,36085
61,2,0,36085
61,3,0,36085
61,4,0.688539617,36085
61,5,0.311460383,36085
62,1,0,36085
62,2,0,36085
62,3,0,36085
62,4,0.688539617,36085
62,5,0.311460383,36085
